dimension,variance_before,variance_after,mean_before,mean_after,relative_mean_change,variance_ratio,equity_index
Popularity,0.011567871922187542,0.002891967980546885,0.016339397370488045,0.08882991189079831,4.436547348722549,0.24999997838842095,0.2095298848589583
Book Length,0.016265458854019758,0.00406636471350494,0.14190865684603096,0.15161454162856974,0.06839529687518812,0.2499999846300073,0.675332238613548
Book Era,0.04561183731206021,0.011402959328015046,0.2809162862199913,0.22111835631554988,-0.21286743640326003,0.24999999451896665,0.6030961723227342
User Activity,0.045813940048781816,0.011453485012195456,0.3744503761633292,0.267885401287219,-0.2845903793271606,0.24999999454314575,0.5672347008692762
Reading Pace,0.02449665885077288,0.006124164712693215,0.19533564390508795,0.17832803515809834,-0.08706863898421345,0.2499999897945268,0.6659955693729293
